feature_set fold epoch train_loss val_loss epoch_ms spike_rate sops
handcrafted-lfcc 0 1 2.031455 4.203447 167.738 0.202 78284
handcrafted-lfcc 0 2 1.072066 5.254404 176.465 0.170 52732
handcrafted-lfcc 0 3 0.636785 6.042195 180.516 0.232 70283
handcrafted-lfcc 0 4 0.420442 6.618758 183.908 0.337 99913
handcrafted-lfcc 0 5 0.287267 7.028307 178.560 0.236 66018
handcrafted-lfcc 0 6 0.209707 7.277884 185.532 0.161 45156
handcrafted-lfcc 0 7 0.156002 7.514511 171.343 0.299 83207
handcrafted-lfcc 0 8 0.125024 7.731936 163.998 0.322 93785
handcrafted-lfcc 0 9 0.103335 7.865511 156.712 0.357 98755
handcrafted-lfcc 0 10 0.083774 7.985109 151.029 0.323 89144
handcrafted-lfcc 0 11 0.070162 8.132958 151.589 0.270 71523
handcrafted-lfcc 1 1 2.031649 3.583007 162.729 0.152 54333
handcrafted-lfcc 1 2 0.844858 4.756648 141.055 0.196 64650
handcrafted-lfcc 1 3 0.451682 5.737721 143.154 0.224 68348
handcrafted-lfcc 1 4 0.310272 6.352951 143.616 0.236 68545
handcrafted-lfcc 1 5 0.238008 6.649628 146.023 0.253 74411
handcrafted-lfcc 1 6 0.197142 6.862750 130.280 0.263 75104
handcrafted-lfcc 1 7 0.164092 7.023968 125.442 0.292 81283
handcrafted-lfcc 1 8 0.136220 7.129535 125.405 0.289 80755
handcrafted-lfcc 1 9 0.115370 7.233680 122.715 0.291 80883
handcrafted-lfcc 1 10 0.099660 7.338886 123.432 0.295 81147
handcrafted-lfcc 1 11 0.082953 7.435205 113.039 0.299 81850
handcrafted-lfcc 2 1 2.015205 3.532102 136.509 0.157 56210
handcrafted-lfcc 2 2 0.831433 4.733787 147.000 0.200 66294
handcrafted-lfcc 2 3 0.448759 5.722172 143.647 0.227 68883
handcrafted-lfcc 2 4 0.307627 6.315766 141.667 0.236 68710
handcrafted-lfcc 2 5 0.236832 6.604782 143.745 0.258 76164
handcrafted-lfcc 2 6 0.195672 6.762973 130.735 0.270 76979
handcrafted-lfcc 2 7 0.165255 6.942872 123.183 0.292 81824
handcrafted-lfcc 2 8 0.137039 7.073780 126.705 0.290 81654
handcrafted-lfcc 2 9 0.115999 7.173559 125.840 0.293 81767
handcrafted-lfcc 2 10 0.101136 7.269615 119.982 0.295 81718
handcrafted-lfcc 2 11 0.086912 7.377374 110.474 0.300 82846
handcrafted-lfcc 3 1 2.042465 3.644277 136.310 0.158 56698
handcrafted-lfcc 3 2 0.840850 5.280011 145.449 0.190 63051
handcrafted-lfcc 3 3 0.430107 6.577902 145.742 0.233 71076
handcrafted-lfcc 3 4 0.292822 7.385160 145.785 0.240 69811
handcrafted-lfcc 3 5 0.227138 7.739263 145.267 0.262 77102
handcrafted-lfcc 3 6 0.185993 7.995711 131.672 0.268 76517
handcrafted-lfcc 3 7 0.155076 8.164848 124.436 0.293 81951
handcrafted-lfcc 3 8 0.125183 8.327233 113.016 0.298 83834
handcrafted-lfcc 3 9 0.107014 8.438611 111.040 0.290 81559
handcrafted-lfcc 3 10 0.092170 8.515073 111.268 0.292 80500
handcrafted-lfcc 3 11 0.075956 8.633985 110.412 0.303 84098
handcrafted-lfcc 4 1 1.818755 4.178786 217.752 0.188 67018
handcrafted-lfcc 4 2 0.602277 6.211877 142.628 0.229 75980
handcrafted-lfcc 4 3 0.324541 7.502678 147.495 0.251 78276
handcrafted-lfcc 4 4 0.249673 8.194982 146.938 0.263 79578
handcrafted-lfcc 4 5 0.201090 8.495090 150.179 0.281 85107
handcrafted-lfcc 4 6 0.162577 8.770219 132.116 0.283 83881
handcrafted-lfcc 4 7 0.144444 8.939824 124.643 0.302 87904
handcrafted-lfcc 4 8 0.117294 9.072988 119.997 0.299 86995
handcrafted-lfcc 4 9 0.099606 9.181720 123.524 0.297 86310
handcrafted-lfcc 4 10 0.083562 9.262546 126.330 0.302 86737
handcrafted-lfcc 4 11 0.068642 9.372964 115.514 0.313 90218
