feature_set fold epoch train_loss val_loss epoch_ms spike_rate sops
handcrafted-lfcc 0 1 2.031455 4.203447 295.231 0.202 78284
handcrafted-lfcc 0 2 1.072066 5.254404 297.098 0.170 52732
handcrafted-lfcc 0 3 0.636785 6.042195 307.373 0.232 70283
handcrafted-lfcc 0 4 0.420442 6.618758 296.504 0.337 99913
handcrafted-lfcc 0 5 0.287267 7.028307 297.734 0.236 66018
handcrafted-lfcc 0 6 0.209707 7.277884 288.431 0.161 45156
handcrafted-lfcc 0 7 0.156002 7.514511 276.844 0.299 83207
handcrafted-lfcc 0 8 0.125024 7.731936 263.940 0.322 93785
handcrafted-lfcc 0 9 0.103335 7.865511 265.342 0.357 98755
handcrafted-lfcc 0 10 0.083774 7.985109 259.269 0.323 89144
handcrafted-lfcc 0 11 0.070162 8.132958 254.279 0.270 71523
handcrafted-lfcc 1 1 2.031649 3.583007 231.438 0.152 54333
handcrafted-lfcc 1 2 0.844858 4.756648 259.152 0.196 64650
handcrafted-lfcc 1 3 0.451682 5.737721 283.621 0.224 68348
handcrafted-lfcc 1 4 0.310272 6.352951 241.567 0.236 68545
handcrafted-lfcc 1 5 0.238008 6.649628 230.878 0.253 74411
handcrafted-lfcc 1 6 0.197142 6.862750 216.283 0.263 75104
handcrafted-lfcc 1 7 0.164092 7.023968 213.610 0.292 81283
handcrafted-lfcc 1 8 0.136220 7.129535 235.605 0.289 80755
handcrafted-lfcc 1 9 0.115370 7.233680 214.002 0.291 80883
handcrafted-lfcc 1 10 0.099660 7.338886 227.327 0.295 81147
handcrafted-lfcc 1 11 0.082953 7.435205 202.713 0.299 81850
handcrafted-lfcc 2 1 2.015205 3.532102 248.084 0.157 56210
handcrafted-lfcc 2 2 0.831433 4.733787 236.167 0.200 66294
handcrafted-lfcc 2 3 0.448759 5.722172 233.923 0.227 68883
handcrafted-lfcc 2 4 0.307627 6.315766 233.749 0.236 68710
handcrafted-lfcc 2 5 0.236832 6.604782 230.098 0.258 76164
handcrafted-lfcc 2 6 0.195672 6.762973 230.141 0.270 76979
handcrafted-lfcc 2 7 0.165255 6.942872 228.424 0.292 81824
handcrafted-lfcc 2 8 0.137039 7.073780 219.763 0.290 81654
handcrafted-lfcc 2 9 0.115999 7.173559 221.025 0.293 81767
handcrafted-lfcc 2 10 0.101136 7.269615 222.844 0.295 81718
handcrafted-lfcc 2 11 0.086912 7.377374 219.193 0.300 82846
handcrafted-lfcc 3 1 2.042465 3.644277 228.758 0.158 56698
handcrafted-lfcc 3 2 0.840850 5.280011 233.721 0.190 63051
handcrafted-lfcc 3 3 0.430107 6.577902 234.098 0.233 71076
handcrafted-lfcc 3 4 0.292822 7.385160 245.102 0.240 69811
handcrafted-lfcc 3 5 0.227138 7.739263 240.129 0.262 77102
handcrafted-lfcc 3 6 0.185993 7.995711 230.049 0.268 76517
handcrafted-lfcc 3 7 0.155076 8.164848 227.699 0.293 81951
handcrafted-lfcc 3 8 0.125183 8.327233 209.306 0.298 83834
handcrafted-lfcc 3 9 0.107014 8.438611 206.566 0.290 81559
handcrafted-lfcc 3 10 0.092170 8.515073 212.747 0.292 80500
handcrafted-lfcc 3 11 0.075956 8.633985 207.493 0.303 84098
handcrafted-lfcc 4 1 1.818755 4.178786 277.879 0.188 67018
handcrafted-lfcc 4 2 0.602277 6.211877 244.507 0.229 75980
handcrafted-lfcc 4 3 0.324541 7.502678 244.444 0.251 78276
handcrafted-lfcc 4 4 0.249673 8.194982 254.111 0.263 79578
handcrafted-lfcc 4 5 0.201090 8.495090 241.588 0.281 85107
handcrafted-lfcc 4 6 0.162577 8.770219 227.804 0.283 83881
handcrafted-lfcc 4 7 0.144444 8.939824 232.497 0.302 87904
handcrafted-lfcc 4 8 0.117294 9.072988 219.703 0.299 86995
handcrafted-lfcc 4 9 0.099606 9.181720 215.171 0.297 86310
handcrafted-lfcc 4 10 0.083562 9.262546 214.449 0.302 86737
handcrafted-lfcc 4 11 0.068642 9.372964 219.229 0.313 90218
