feature_set fold epoch train_loss val_loss epoch_ms spike_rate sops
handcrafted-lfcc 0 1 2.328096 3.861565 344.621 0.157 57496
handcrafted-lfcc 0 2 0.950204 5.719827 303.578 0.215 69446
handcrafted-lfcc 0 3 0.463501 7.102437 304.367 0.254 78481
handcrafted-lfcc 0 4 0.316055 7.872562 300.558 0.231 68167
handcrafted-lfcc 0 5 0.240509 8.312382 335.771 0.277 82587
handcrafted-lfcc 0 6 0.181036 8.602192 307.564 0.264 72390
handcrafted-lfcc 0 7 0.145146 8.835005 317.352 0.290 82286
handcrafted-lfcc 0 8 0.117855 9.038239 314.272 0.308 89263
handcrafted-lfcc 0 9 0.095306 9.201192 296.271 0.283 79859
handcrafted-lfcc 0 10 0.081174 9.330523 276.479 0.268 72599
handcrafted-lfcc 0 11 0.066870 9.436764 269.990 0.310 87887
handcrafted-lfcc 1 1 2.232198 3.862571 458.134 0.141 50033
handcrafted-lfcc 1 2 0.995760 5.494400 467.181 0.208 66667
handcrafted-lfcc 1 3 0.523584 6.673840 312.799 0.256 77422
handcrafted-lfcc 1 4 0.329087 7.377159 322.072 0.230 65978
handcrafted-lfcc 1 5 0.220365 7.792084 328.213 0.291 82927
handcrafted-lfcc 1 6 0.153284 8.046284 310.768 0.267 71387
handcrafted-lfcc 1 7 0.111893 8.272673 308.316 0.285 78087
handcrafted-lfcc 1 8 0.083852 8.497086 323.225 0.317 87224
handcrafted-lfcc 1 9 0.066787 8.642367 313.011 0.286 76897
handcrafted-lfcc 1 10 0.052247 8.808601 292.174 0.284 75690
handcrafted-lfcc 1 11 0.042999 8.950609 271.345 0.328 88310
handcrafted-lfcc 2 1 2.259891 4.081943 274.099 0.132 47375
handcrafted-lfcc 2 2 1.024964 5.718295 273.165 0.207 66263
handcrafted-lfcc 2 3 0.536922 7.060746 277.379 0.251 75668
handcrafted-lfcc 2 4 0.331231 7.767231 287.820 0.221 62688
handcrafted-lfcc 2 5 0.218587 8.199394 283.892 0.296 84749
handcrafted-lfcc 2 6 0.146622 8.416204 274.601 0.264 69878
handcrafted-lfcc 2 7 0.105927 8.695651 276.614 0.289 78800
handcrafted-lfcc 2 8 0.083909 8.936743 285.206 0.316 86816
handcrafted-lfcc 2 9 0.066557 9.147062 280.453 0.289 78052
handcrafted-lfcc 2 10 0.052780 9.282130 284.953 0.274 72882
handcrafted-lfcc 2 11 0.043871 9.325377 267.646 0.330 88352
handcrafted-lfcc 3 1 2.187414 3.844116 423.185 0.139 51346
handcrafted-lfcc 3 2 0.959969 5.361882 381.009 0.189 61824
handcrafted-lfcc 3 3 0.515678 6.625859 298.357 0.236 71116
handcrafted-lfcc 3 4 0.331397 7.504773 295.135 0.265 77473
handcrafted-lfcc 3 5 0.232141 8.067692 309.465 0.265 76690
handcrafted-lfcc 3 6 0.167094 8.410396 291.335 0.282 81393
handcrafted-lfcc 3 7 0.123685 8.698711 296.632 0.282 79702
handcrafted-lfcc 3 8 0.093968 8.931489 277.789 0.294 81788
handcrafted-lfcc 3 9 0.074203 9.124135 289.642 0.286 78169
handcrafted-lfcc 3 10 0.058078 9.266907 287.033 0.294 80335
handcrafted-lfcc 3 11 0.048863 9.378664 252.285 0.302 83989
handcrafted-lfcc 4 1 2.012590 3.816735 311.857 0.144 52092
handcrafted-lfcc 4 2 0.855201 5.331669 302.303 0.194 64415
handcrafted-lfcc 4 3 0.449670 6.515928 302.315 0.234 72677
handcrafted-lfcc 4 4 0.277042 7.215641 315.899 0.251 74995
handcrafted-lfcc 4 5 0.180754 7.654308 315.496 0.269 77505
handcrafted-lfcc 4 6 0.126855 7.956922 320.625 0.286 83770
handcrafted-lfcc 4 7 0.095114 8.242230 325.755 0.283 81603
handcrafted-lfcc 4 8 0.069495 8.452709 311.480 0.277 78792
handcrafted-lfcc 4 9 0.053486 8.658562 286.923 0.267 74905
handcrafted-lfcc 4 10 0.042106 8.855286 275.130 0.268 74188
handcrafted-lfcc 4 11 0.034016 8.979289 261.837 0.284 77366
