feature_set fold epoch train_loss val_loss epoch_ms spike_rate sops
handcrafted-lfcc 0 1 2.328096 3.861565 199.679 0.157 57496
handcrafted-lfcc 0 2 0.950204 5.719827 213.241 0.215 69446
handcrafted-lfcc 0 3 0.463501 7.102437 204.653 0.254 78481
handcrafted-lfcc 0 4 0.316055 7.872562 211.164 0.231 68167
handcrafted-lfcc 0 5 0.240509 8.312382 209.141 0.277 82587
handcrafted-lfcc 0 6 0.181036 8.602192 207.790 0.264 72390
handcrafted-lfcc 0 7 0.145146 8.835005 216.059 0.290 82286
handcrafted-lfcc 0 8 0.117855 9.038239 214.989 0.308 89263
handcrafted-lfcc 0 9 0.095306 9.201192 209.123 0.283 79859
handcrafted-lfcc 0 10 0.081174 9.330523 204.557 0.268 72599
handcrafted-lfcc 0 11 0.066870 9.436764 177.753 0.310 87887
handcrafted-lfcc 1 1 2.232198 3.862571 276.697 0.141 50033
handcrafted-lfcc 1 2 0.995760 5.494400 213.547 0.208 66667
handcrafted-lfcc 1 3 0.523584 6.673840 212.382 0.256 77422
handcrafted-lfcc 1 4 0.329087 7.377159 213.474 0.230 65978
handcrafted-lfcc 1 5 0.220365 7.792084 220.297 0.291 82927
handcrafted-lfcc 1 6 0.153284 8.046284 221.285 0.267 71387
handcrafted-lfcc 1 7 0.111893 8.272673 219.250 0.285 78087
handcrafted-lfcc 1 8 0.083852 8.497086 216.231 0.317 87224
handcrafted-lfcc 1 9 0.066787 8.642367 218.784 0.286 76897
handcrafted-lfcc 1 10 0.052247 8.808601 207.974 0.284 75690
handcrafted-lfcc 1 11 0.042999 8.950609 174.094 0.328 88310
handcrafted-lfcc 2 1 2.259891 4.081943 193.429 0.132 47375
handcrafted-lfcc 2 2 1.024964 5.718295 210.276 0.207 66263
handcrafted-lfcc 2 3 0.536922 7.060746 223.483 0.251 75668
handcrafted-lfcc 2 4 0.331231 7.767231 221.494 0.221 62688
handcrafted-lfcc 2 5 0.218587 8.199394 211.119 0.296 84749
handcrafted-lfcc 2 6 0.146622 8.416204 218.721 0.264 69878
handcrafted-lfcc 2 7 0.105927 8.695651 210.183 0.289 78800
handcrafted-lfcc 2 8 0.083909 8.936743 227.918 0.316 86816
handcrafted-lfcc 2 9 0.066557 9.147062 222.088 0.289 78052
handcrafted-lfcc 2 10 0.052780 9.282130 183.991 0.274 72882
handcrafted-lfcc 2 11 0.043871 9.325377 156.673 0.330 88352
handcrafted-lfcc 3 1 2.187414 3.844116 212.859 0.139 51346
handcrafted-lfcc 3 2 0.959969 5.361882 201.353 0.189 61824
handcrafted-lfcc 3 3 0.515678 6.625859 198.266 0.236 71116
handcrafted-lfcc 3 4 0.331397 7.504773 214.523 0.265 77473
handcrafted-lfcc 3 5 0.232141 8.067692 220.630 0.265 76690
handcrafted-lfcc 3 6 0.167094 8.410396 210.876 0.282 81393
handcrafted-lfcc 3 7 0.123685 8.698711 207.575 0.282 79702
handcrafted-lfcc 3 8 0.093968 8.931489 201.129 0.294 81788
handcrafted-lfcc 3 9 0.074203 9.124135 201.226 0.286 78169
handcrafted-lfcc 3 10 0.058078 9.266907 189.945 0.294 80335
handcrafted-lfcc 3 11 0.048863 9.378664 183.772 0.302 83989
handcrafted-lfcc 4 1 2.012590 3.816735 176.816 0.144 52092
handcrafted-lfcc 4 2 0.855201 5.331669 177.738 0.194 64415
handcrafted-lfcc 4 3 0.449670 6.515928 204.989 0.234 72677
handcrafted-lfcc 4 4 0.277042 7.215641 207.917 0.251 74995
handcrafted-lfcc 4 5 0.180754 7.654308 201.877 0.269 77505
handcrafted-lfcc 4 6 0.126855 7.956922 202.555 0.286 83770
handcrafted-lfcc 4 7 0.095114 8.242230 204.771 0.283 81603
handcrafted-lfcc 4 8 0.069495 8.452709 203.254 0.277 78792
handcrafted-lfcc 4 9 0.053486 8.658562 204.506 0.267 74905
handcrafted-lfcc 4 10 0.042106 8.855286 197.419 0.268 74188
handcrafted-lfcc 4 11 0.034016 8.979289 183.834 0.284 77366
