feature_set fold epoch train_loss val_loss epoch_ms spike_rate sops
handcrafted-lfcc 0 1 2.490011 4.663336 228.199 0.321 127221
handcrafted-lfcc 0 2 1.426300 6.889521 187.253 0.351 126007
handcrafted-lfcc 0 3 1.309784 7.928015 187.821 0.364 130635
handcrafted-lfcc 0 4 1.251405 8.094302 182.102 0.365 129023
handcrafted-lfcc 0 5 1.197346 8.481851 186.147 0.363 127656
handcrafted-lfcc 0 6 1.164426 8.645042 188.968 0.362 126849
handcrafted-lfcc 0 7 1.121018 9.089062 192.249 0.375 130530
handcrafted-lfcc 0 8 1.050675 9.537212 193.502 0.366 128024
handcrafted-lfcc 0 9 1.027561 9.168892 176.141 0.354 125036
handcrafted-lfcc 0 10 1.002199 9.392936 164.220 0.357 123265
handcrafted-lfcc 0 11 0.963087 9.593737 144.951 0.351 123334
handcrafted-lfcc 1 1 1.905152 5.514822 220.221 0.343 127874
handcrafted-lfcc 1 2 1.105290 7.256411 188.759 0.372 133385
handcrafted-lfcc 1 3 0.984506 7.874834 218.644 0.375 133107
handcrafted-lfcc 1 4 0.897736 8.090293 189.609 0.381 133389
handcrafted-lfcc 1 5 0.806000 8.537549 192.113 0.371 130059
handcrafted-lfcc 1 6 0.769050 8.750871 188.107 0.371 129402
handcrafted-lfcc 1 7 0.692862 9.003288 189.944 0.370 130781
handcrafted-lfcc 1 8 0.657610 9.381206 190.888 0.368 128956
handcrafted-lfcc 1 9 0.655349 9.619799 194.064 0.371 128733
handcrafted-lfcc 1 10 0.592198 9.885992 174.368 0.369 128087
handcrafted-lfcc 1 11 0.529197 9.901752 139.744 0.372 126769
handcrafted-lfcc 2 1 1.905152 5.985385 175.970 0.343 127874
handcrafted-lfcc 2 2 1.105290 8.093603 169.542 0.372 133385
handcrafted-lfcc 2 3 0.984506 8.919899 174.226 0.375 133107
handcrafted-lfcc 2 4 0.897736 8.658884 171.660 0.381 133389
handcrafted-lfcc 2 5 0.806000 9.287231 175.021 0.371 130059
handcrafted-lfcc 2 6 0.769050 9.351521 171.971 0.371 129402
handcrafted-lfcc 2 7 0.692862 9.581172 170.679 0.370 130781
handcrafted-lfcc 2 8 0.657610 10.411923 174.225 0.368 128956
handcrafted-lfcc 2 9 0.655349 9.929854 168.526 0.371 128733
handcrafted-lfcc 2 10 0.592198 10.062430 173.555 0.369 128087
handcrafted-lfcc 2 11 0.529197 10.161025 143.990 0.372 126769
handcrafted-lfcc 3 1 1.844011 5.478931 174.765 0.335 129699
handcrafted-lfcc 3 2 1.049591 7.384194 186.127 0.376 138134
handcrafted-lfcc 3 3 0.932790 7.750672 180.927 0.357 130693
handcrafted-lfcc 3 4 0.879300 8.546174 176.513 0.369 131029
handcrafted-lfcc 3 5 0.845962 8.966290 183.373 0.373 131302
handcrafted-lfcc 3 6 0.799693 8.670505 178.772 0.366 129649
handcrafted-lfcc 3 7 0.789560 9.015724 186.282 0.373 130741
handcrafted-lfcc 3 8 0.719370 9.380845 172.455 0.366 128537
handcrafted-lfcc 3 9 0.657709 9.630474 155.667 0.364 127600
handcrafted-lfcc 3 10 0.647952 9.640406 153.103 0.356 124833
handcrafted-lfcc 3 11 0.621353 9.848620 147.126 0.358 126867
handcrafted-lfcc 4 1 1.646730 5.328650 181.050 0.321 124903
handcrafted-lfcc 4 2 0.932486 7.619070 181.758 0.358 131580
handcrafted-lfcc 4 3 0.822994 8.811422 180.686 0.376 135070
handcrafted-lfcc 4 4 0.810810 8.983885 182.149 0.382 137082
handcrafted-lfcc 4 5 0.822091 9.111553 186.787 0.376 134408
handcrafted-lfcc 4 6 0.774144 9.083607 180.378 0.372 132821
handcrafted-lfcc 4 7 0.753184 9.298799 182.592 0.378 136075
handcrafted-lfcc 4 8 0.752344 9.402958 175.681 0.379 134276
handcrafted-lfcc 4 9 0.705576 9.809293 179.956 0.374 133154
handcrafted-lfcc 4 10 0.687040 9.952725 160.677 0.370 132507
handcrafted-lfcc 4 11 0.699545 9.745358 132.402 0.375 134098
