feature_set fold epoch train_loss val_loss epoch_ms spike_rate sops
handcrafted-lfcc 0 1 2.186074 nan 103.865 0.210 76046
handcrafted-lfcc 0 2 0.716773 nan 109.149 0.210 70437
handcrafted-lfcc 0 3 0.377181 nan 114.542 0.259 85071
handcrafted-lfcc 0 4 0.272659 nan 115.971 0.267 83223
handcrafted-lfcc 0 5 0.221541 nan 107.748 0.275 84498
handcrafted-lfcc 0 6 0.189841 nan 102.885 0.284 87537
handcrafted-lfcc 0 7 0.163657 nan 106.337 0.278 84543
handcrafted-lfcc 0 8 0.139253 nan 107.283 0.306 89377
handcrafted-lfcc 0 9 0.119431 nan 102.567 0.305 88432
handcrafted-lfcc 0 10 0.106123 nan 101.209 0.322 94593
handcrafted-lfcc 0 11 0.091804 nan 108.736 0.310 90051
handcrafted-lfcc 0 12 0.080325 nan 108.239 0.308 88454
handcrafted-lfcc 0 13 0.067537 nan 104.796 0.299 88593
handcrafted-lfcc 0 14 0.057348 nan 103.132 0.314 89850
handcrafted-lfcc 0 15 0.049315 nan 102.814 0.336 97811
handcrafted-lfcc 0 16 0.044095 nan 105.840 0.327 93009
handcrafted-lfcc 0 17 0.038751 nan 107.571 0.332 95797
handcrafted-lfcc 0 18 0.033210 nan 128.638 0.329 93702
handcrafted-lfcc 0 19 0.030142 nan 108.949 0.324 92124
handcrafted-lfcc 0 20 0.028430 nan 101.166 0.349 97885
handcrafted-lfcc 0 21 0.023706 nan 128.937 0.353 99877
handcrafted-lfcc 0 22 0.022785 nan 138.709 0.336 92235
handcrafted-lfcc 0 23 0.019779 nan 109.853 0.337 92154
handcrafted-lfcc 0 24 0.017435 nan 112.196 0.339 94691
handcrafted-lfcc 0 25 0.015891 nan 109.372 0.338 92694
handcrafted-lfcc 0 26 0.014186 nan 110.405 0.340 94044
handcrafted-lfcc 0 27 0.013229 nan 105.131 0.331 90794
handcrafted-lfcc 0 28 0.012014 nan 349.401 0.344 94669
handcrafted-lfcc 0 29 0.011026 nan 122.091 0.347 95673
handcrafted-lfcc 0 30 0.010493 nan 107.942 0.336 91506
handcrafted-lfcc 0 31 0.009615 nan 103.654 0.342 94449
handcrafted-lfcc 0 32 0.008828 nan 99.921 0.366 102230
handcrafted-lfcc 0 33 0.008239 nan 105.602 0.367 100715
handcrafted-lfcc 0 34 0.007876 nan 102.423 0.367 102185
handcrafted-lfcc 0 35 0.007041 nan 100.151 0.346 94073
handcrafted-lfcc 0 36 0.006617 nan 102.681 0.347 94185
