Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
3	:	1776055458.534	   159.305	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_002_lr0.0001_bs8_hs32_ls32_mse.json
1	:	1776055458.526	   166.240	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_000_lr0.0001_bs8_hs32_ls16_mse.json
7	:	1776055458.550	   167.720	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_006_lr0.0001_bs8_hs64_ls16_mse.json
5	:	1776055458.543	   169.562	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_004_lr0.0001_bs8_hs32_ls64_mse.json
8	:	1776055458.554	   173.125	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_007_lr0.0001_bs8_hs64_ls16_mae.json
4	:	1776055458.538	   181.649	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_003_lr0.0001_bs8_hs32_ls32_mae.json
6	:	1776055458.546	   182.066	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_005_lr0.0001_bs8_hs32_ls64_mae.json
2	:	1776055458.530	   183.012	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_001_lr0.0001_bs8_hs32_ls16_mae.json
10	:	1776055458.562	   283.046	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_050_lr0.0001_bs32_hs128_ls32_mse.json
12	:	1776055458.571	   286.203	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_052_lr0.0001_bs32_hs128_ls64_mse.json
9	:	1776055458.558	   331.677	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_049_lr0.0001_bs32_hs128_ls16_mae.json
11	:	1776055458.567	   335.067	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_051_lr0.0001_bs32_hs128_ls32_mae.json
14	:	1776055624.783	   272.069	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_054_lr0.0001_bs64_hs32_ls16_mse.json
16	:	1776055628.120	   269.293	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_056_lr0.0001_bs64_hs32_ls32_mse.json
18	:	1776055640.201	   267.467	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_058_lr0.0001_bs64_hs32_ls64_mse.json
20	:	1776055641.556	   266.901	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_060_lr0.0001_bs64_hs64_ls16_mse.json
